customer_id,name,email,signup_date,region
CUST1000,Patrick Kemp,wfrederick@gmail.com,2024-12-01,East
CUST1001,Leslie Richmond,webbcatherine@long-martin.com,2023-11-27,West
CUST1002,Johnny Kaufman DDS,michelle28@sanchez.com,2025-05-02,North
CUST1003,Paula Hughes,amandalindsey@kennedy.biz,2024-11-25,East
CUST1004,Dylan Terrell,nicole33@yahoo.com,2024-06-02,East
CUST1005,Leslie Houston,ahayden@gmail.com,2023-10-21,West
CUST1006,Brian Moody,millerstephen@yahoo.com,2024-01-03,North
CUST1007,Thomas Marsh,tonygreen@gonzalez-lopez.com,2024-05-07,North
CUST1008,Daniel Smith,ypowell@hotmail.com,2024-08-12,East
CUST1009,April Duncan,sylvia82@stewart.biz,2025-04-10,South
CUST1010,David Davis,robertwalton@rodriguez-gill.com,2025-06-06,East
CUST1011,Bethany Osborne,alexander92@hotmail.com,2024-09-01,East
CUST1012,Marcus Reed PhD,camposmonica@hotmail.com,2023-11-30,East
CUST1013,Jason Kelly,gfarley@gmail.com,2025-01-30,East
CUST1014,Stephanie Meza,rebeccafranklin@hotmail.com,2024-01-08,West
CUST1015,Christopher Hopkins,rwillis@welch-yang.com,2024-02-06,North
CUST1016,Christina Braun,travisjackson@landry.org,2023-09-21,West
CUST1017,Jacob Macdonald,hstevens@williams.info,2024-10-18,West
CUST1018,Angela Sanchez,ublair@gmail.com,2023-12-26,West
CUST1019,Antonio Smith,johnlivingston@yahoo.com,2025-03-22,East
CUST1020,Matthew Campos,margaret47@reed-middleton.com,2025-01-26,South
CUST1021,Rhonda Powell,qsmith@shaw.com,2024-11-07,North
CUST1022,Melissa Bolton,elizabeth21@yahoo.com,2024-11-05,South
CUST1023,Leah Hall,moorelonnie@hotmail.com,2025-04-27,West
CUST1024,Christina Stevenson,vanessa04@gmail.com,2024-09-20,West
CUST1025,Ryan Solis,lclark@yahoo.com,2024-09-08,South
CUST1026,Russell Rogers,jamie70@rogers.info,2025-03-07,South
CUST1027,Danielle Baker,ian21@yahoo.com,2025-03-23,South
CUST1028,John Hall,ghunt@hotmail.com,2024-06-14,West
CUST1029,Karina Johnson,dowen@hotmail.com,2023-11-08,West
CUST1030,Michael Spencer,deborahgarza@gmail.com,2023-12-05,North
CUST1031,Philip Lee,cynthiaharris@hotmail.com,2025-02-16,North
CUST1032,Susan Ford,emily12@gmail.com,2023-08-17,West
CUST1033,Aaron Payne,williamsmith@gmail.com,2023-08-23,South
CUST1034,Joshua Hawkins,crojas@kim.com,2025-04-07,South
CUST1035,Hayden Hobbs,gregoryryan@yahoo.com,2025-03-03,North
CUST1036,Brandon Martinez,gbrown@leonard-russell.org,2025-04-20,West
CUST1037,Mark Howard,sotodavid@gmail.com,2023-07-12,North
CUST1038,Stephen Kennedy,swatson@wheeler.com,2025-06-27,North
CUST1039,Lisa Osborn,nicolesparks@hotmail.com,2024-10-02,East
CUST1040,Breanna Johnson,hgalloway@gmail.com,2025-04-13,East
CUST1041,William Villarreal,yesenia30@yahoo.com,2023-08-20,East
CUST1042,Elizabeth Ritter DVM,johnmyers@hotmail.com,2025-06-15,South
CUST1043,Laura Jarvis,nicole85@yahoo.com,2024-09-27,West
CUST1044,Timothy Bell,jasonbush@gmail.com,2024-03-15,West
CUST1045,Jenna Bryant,skelly@gmail.com,2025-03-10,West
CUST1046,Carolyn Patterson,michelle76@martinez.com,2025-04-03,West
CUST1047,Adam Berg,jason95@vargas.com,2025-01-26,East
CUST1048,Christina Flynn,alexissuarez@tucker-anderson.com,2024-06-14,South
CUST1049,Jonathan Harris,tonithomas@russell.com,2023-07-10,South
CUST1050,Sandra Mason,deleonshannon@gardner.com,2023-11-11,East
CUST1051,Ashley Mcdonald,mglenn@stark.com,2024-10-11,South
CUST1052,Edward Eaton,stevenkirk@gmail.com,2023-08-31,East
CUST1053,Paul Sanders,beth23@yahoo.com,2024-01-24,West
CUST1054,Scott Hamilton,donna34@parker.net,2025-06-06,East
CUST1055,George Watson,jefferyjones@wilson-hernandez.com,2025-02-01,West
CUST1056,Jared Ellison,shannon37@wilcox.biz,2024-07-14,West
CUST1057,Michael Taylor,qbailey@moore.info,2023-08-15,North
CUST1058,Julian Tucker,rhonda53@gmail.com,2024-08-06,East
CUST1059,Cynthia Lewis,timothycarpenter@hotmail.com,2025-06-22,North
CUST1060,Brenda Robinson,ithompson@hotmail.com,2024-07-21,East
CUST1061,Darlene Gibson,ryanschwartz@bradshaw-livingston.biz,2025-02-03,East
CUST1062,Monica Little,duncanjames@robertson.com,2024-04-11,North
